NAME,Total Enrollment,Total Revenue
CARNEY SCH DIST 105,253,2350
CARO COMMUNITY SCHOOLS,1674,19742
CAROLINE CO SCH,4214,45892
CAROLINE CO SCHS,5829,89657
CARPINTERIA UNIFIED SCH DIST,2177,36700
CARRIER MLS-STONEFORT SCHOOL DISTRICT 2,450,6393
CARRINGTON SCHOOL DISTRICT 49,500,8851
CARRIZO SPRINGS IND SCH DISTRICT 903,2219,71334
CARRIZOZO SCHOOL DISTRICT,142,3255
CARROLL CO SCH DIST,6,3852
CARROLL CO SCH DIST,2160,29895
CARROLL CO SCH DIST,3762,49742
CARROLL CO SCH DIST,15081,169889
CARROLL CO SCHS,25179,399054
CARROLL COMMUNITY SCHOOL DISTRICT,1905,24967
CARROLL CONSOLIDATED SCHOOL CORPORATION,1071,12415
CARROLL COUNTY SCHOOL DISTRICT,933,9706
CARROLL IND SCH DIST 919,8366,150327
CARROLLTON COMMUNITY UNIT SCHOOL DISTRICT 1,534,8039
CARROLLTON EX VLG SCHOOL DIST,1903,31051
CARROLLTON IND SCH DIST,5275,58606
CARROLLTON PUBLIC SCHOOLS,1832,25189
CARROLLTON SCH DIST R 7,861,11529
CARROLLTON-FARMERS BR SCHOOL DIST 903,25598,370288
CARSON CITY SCHOOL DISTRICT,8131,96643
CARSON CITY-CRYSTAL AREA SCH DIST,941,10611
CARSONVILLE-PORT SANILAC SCHOOL DISTRICT,348,4752
CARTER CO HIGH SCHOOL DIST,37,1280
CARTER CO SCH DIST,4396,50816
CARTER CO SCH DIST,5137,55241
CARTER ELEM DIST 56,9,127
CARTERET BORO SCH DIST,3932,76759
CARTERET CO SCHOOL DISTRICT,8206,101659
CARTERSVILLE IND SCH DIST,4540,53681
CARTERVILLE COMMUNITY UNIT SCHOOL DISTRICT 5,2139,22489
CARTHAGE CENTRAL SCHOOL DIST,3146,78964
CARTHAGE ELEMENTARY SCHOOL DISTRICT 317,421,5420
CARTHAGE IND SCH DIST 902,2708,38127
CARTHAGE SCH DIST R9,5062,63259
CARTWRIGHT SCHOOL DISTRICT 83,16034,152025
CARUTHERS UNIFIED SCHOOL DISTRICT,1508,24594
CARUTHERSVILLE SCHOOL DIST 18,1082,11120
CARVER TOWN SCH,1555,36165
CARY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 26,2491,42498
CASA GRANDE SCHOOL DISTRICT 4,6831,59692
CASA GRANDE UNION HIGH SCHOOL DISTRICT 82,3593,38713
CASCADE ELEM DIST 3,199,2701
CASCADE HIGH SCH DIST B,81,2269
CASCADE SCHOOL DISTRICT 228,1367,28572
CASCADE SCHOOL DISTRICT 422,224,3376
CASCADE SCHOOL DISTRICT 5,2381,30370
CASCADE UNION ELEM SCH DIST,1060,17557
CASEVILLE PUBLIC SCHOOLS,268,3563
CASEY CO SCH DIST,2349,29312
CASEY WESTFIELD COMMUNITY UNIT SCHOOL DISTRICT 4C,916,12461
CASHION SCH DIST 89,595,10554
CASHMERE SCHOOL DISTRICT 222,1701,32850
CASHTON SCHOOL DISTRICT,610,9280
CASS CITY PUBLIC SCHOOLS,968,11467
CASS CO SCHOOL DIST R5,514,5791
CASS LAKE IND SCHOOL DIST 115,1211,28039
CASS SCHOOL DISTRICT 63,766,15948
CASSADAGA VAL CTL SCHOOL DIST,892,22691
CASSIA COUNTY JOINT SCHOOL DISTRICT 151,5561,46864
CASSOPOLIS PUBLIC SCH DIST,956,12723
CASSVILLE SCH DIST R-4,1900,20605
CASSVILLE SCHOOL DISTRICT,195,4266
CASTAIC UNION SCHOOL DISTRICT,2037,35668
CASTINE TOWN SCHOOLS,64,1388
CASTLE ROCK SCHOOL DISTRICT 401,1442,19004
CASTLE ROCK UNION SCHOOL DIST,64,1038
CASTLEBERRY IND SCH DIST 917,3783,47490
CASTLEFORD SCHOOL DISTRICT 417,353,3595
CASTLEWOOD SCHOOL DISTRICT 28-1,318,3159
CASTON SCHOOL CORPORATION,684,8517
CASTRO VAL UNIFIED SCH DIST,9269,165824
CASWELL CO SCH,2530,28261
CASWELL PLANTATION SCHOOLS,38,737
CATAHOULA PARISH SCHOOL DISTRICT,1199,15720
CATALINA FOOTHILLS SCHOOL DISTRICT 16,5427,53535
CATASAUQUA SCH DIST,1482,32403
CATAWBA CO SCH,16054,159067
CATO-MERIDIAN CENTRAL SCH DIST,940,22227
CATOOSA CO SCH DIST,10753,133742
CATOOSA SCH DIST 2,1949,22340
CATSKILL CTL SCH DIST,1468,43433
CATTARAUGUS-LITTLE VALLEY CONSOLIDATED SCHOOL DISTRICT,939,26232
CAVALIER SCH DIST 6,436,5839
CAVE CITY SCH DIST 2 A,1263,13920
CAVE CREEK UNIFIED SCHOOL DISTRICT 93,5406,50448
CAVE SPRINGS SCH DIST 30,209,2725
CAVERNA INDEP SCH DIST,646,9602
CAYUCOS ELEMENTARY SCHOOL DISTRICT,180,4403
CAYUGA IND SCH DIST 902,564,9514
CAYUSE PRAIRIE ELEM DIST 10,251,2743
CAZENOVIA CENTRAL SCH,1426,29679
CECIL COUNTY PUBLIC SCHOOLS,15307,244089
CEDAR BLUFFS VLG SD 107,428,6627
CEDAR CLIFF LOCAL SCH DIST,624,9404
CEDAR FALLS COMMUNITY SCHOOL DISTRICT,5614,74569
CEDAR GROVE BELGIUM SCHOOL DISTRICT,986,14278
CEDAR GROVE TWP SCH DIST,1586,36934
CEDAR HILL IND SCH DISTRICT 904,7790,88446
CEDAR MOUNTAIN SCHOOL DISTRICT,485,8099
CEDAR RAPIDS COMMUNITY SCHOOL DISTRICT,16717,261862
CEDAR RIDGE SCH DIST,733,10492
CEDAR SPRINGS PUBLIC SCHOOLS,3511,44433
CEDAR UNIFIED SCHOOL DISTRICT 25,142,3551
CEDAR VALE UNIFIED SCHOOL DISTRICT 285,145,2566
CEDARBURG SCHOOL DISTRICT,3122,42403
CEDARVILLE SCH DIST 44,745,8812
CELESTE IND SCH DIST 902,507,7069
CELINA CITY SCH DIST,2698,41289
CELINA IND SCH DIST 903,2722,37176
CEMENT SCH DIST 160,228,2699
CENTENNIAL SCH DIST 12,6740,98213
CENTENNIAL SCH DIST 28 JOINT,6150,82183
CENTENNIAL SCH DIST 567,460,9844
CENTENNIAL SCH DIST R 1,217,4375
CENTENNIAL SCHOOL DISTRICT,5419,124928
CENTER 26 J T,639,9982
CENTER CASS SCHOOL DISTRICT 66,1070,20422
CENTER GROVE COMMUNITY SCHOOL CORPORATION,8511,102142
CENTER IND SCH DIST 901,2629,30856
CENTER LINE PUBLIC SCHOOLS,2553,38791
CENTER MORICHES UF SCH DIST,1540,44193
CENTER POINT IND 901 SCHOOL DIST,569,7509
CENTER POINT-URBANA COMMUNITY SCHOOL DISTRICT,1578,20464
CENTER SCH DIST 58,2639,45054
CENTER STANTON PUBLIC SCHOOL DISTRICT 1,246,3832
CENTER UNIFIED SCH DIST,4229,66171
CENTERBURG LOCAL SCH DIST,1088,13506
CENTERPOINT SCHOOL DISTRICT,1003,10904
CENTERVILLE CITY SCH DIST,8364,112758
CENTERVILLE COMMUNITY SCHOOL DISTRICT,1409,18781
CENTERVILLE IND SCH DIST 904,135,2021
CENTERVILLE SCH DIST 902,656,8944
CENTERVILLE SCH DIST R-1,67,1058
CENTERVILLE SCHOOL DISTRICT 215,93,1669
CENTERVILLE SCHOOL DISTRICT 60-1,294,3354
CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,1776,19413
CENTINELA VALLEY UNION HIGH SCHOOL DIST,6370,128825
CENTRAL A & M COMMUNITY UNIT SCHOOL DISTRICT 21,701,13511
CENTRAL BERKSHIRE REGIONAL SCHOOL DISTRICT,1579,34192
CENTRAL BUCKS SCH DIST,18224,342899
CENTRAL CAMBRIA SCH DIST,1612,25575
CENTRAL CASS SCH DIST 17,941,13394
CENTRAL CITY COMMUNITY SCHOOL DISTRICT,469,7180
CENTRAL CITY SCH DIST 4,744,12849
CENTRAL CITY SCHOOL DISTRICT 133,351,3579
CENTRAL COLUMBIA SCHOOL DISTRICT,1884,31797
CENTRAL COMMUNITY SCHOOL DISTRICT,430,6864
CENTRAL COMMUNITY SCHOOL DISTRICT,4714,55989
CENTRAL COMMUNITY SCHOOL DISTRICT 71,600,10624
CENTRAL COMMUNITY UNIT SCHOOL DISTRICT 3,837,11034
CENTRAL COMMUNITY UNIT SCHOOL DISTRICT 301,4305,76249
CENTRAL COMMUNITY UNIT SCHOOL DISTRICT 4,1076,16130
CENTRAL CONSOLIDATED SCHOOL DISTRICT,5893,82848
CENTRAL CURRY SCHOOL DISTRICT #1,488,8290
CENTRAL DAUPHIN SCH DIST,11996,207716
CENTRAL DECATUR COMMUNITY SCHOOL DISTRICT,708,10065
CENTRAL DEWITT COMMUNITY SCHOOL DISTRICT,1623,22252
CENTRAL FALLS SCHOOL DISTRICT,2695,55747
CENTRAL FULTON SCH DIST,1026,17014
CENTRAL GREENE SCHOOL DIST,1667,34415
CENTRAL HEIGHTS UNIFIED SCHOOL DISTRICT 288,530,8059
CENTRAL HGHTS IND SCH DIST 908,1181,11700
CENTRAL HIGH SCH DIST 34,417,4418
CENTRAL IND SCH DIST 907,1465,16841
CENTRAL ISLIP UF SCHOOL DIST,7855,229935
CENTRAL KITSAP SCHOOL DISTRICT 401,11474,249095
CENTRAL LAKE PUBLIC SCHOOLS,291,4166
CENTRAL LEE COMMUNITY SCHOOL DISTRICT,1157,13114
CENTRAL LINN SCH DIST 552,659,8641
CENTRAL LOCAL SCH DIST,955,14276
CENTRAL LYON COMMUNITY SCHOOL DISTRICT,797,11306
CENTRAL MONTCALM PUBLIC SCHOOLS,1513,18576
CENTRAL NOBLE COMMUNITY SCHOOL CORPORATION,1247,15299
CENTRAL PLAINS UNIFIED SCHOOL DISTRICT 112,565,7404
CENTRAL POINT SCH DIST 6,4846,56641
CENTRAL REG HIGH SCHOOL DIST,2272,45460
CENTRAL SCHOOL DIST,4487,58691
CENTRAL SCHOOL DIST 13J,3232,44396
CENTRAL SCHOOL DISTRICT 104,602,9306
CENTRAL SCHOOL DISTRICT 51,1397,15656
CENTRAL SCHOOL DISTRICT 7,491,4610
CENTRAL SCHOOL DISTRICT R-3,2132,22846
CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT,777,12804
CENTRAL SQUARE CENTRAL SCHOOL DIST,3838,86250
CENTRAL STICKNEY SCHOOL DISTRICT 110,384,7311
CENTRAL UNIFIED SCHOOL DIST,15881,230142
CENTRAL UNIFIED SCHOOL DISTRICT 462,315,4944
CENTRAL UNION ELEMENTARY SCHOOL DISTRICT,1848,45642
CENTRAL UNION HIGH SCHOOL DIST,4150,68932
CENTRAL VAL SCH DIST 3,206,3146
CENTRAL VALLEY CSD AT ILION-MOHAWK,2308,54055
CENTRAL VALLEY PUBLIC SCHOOLS,303,8295
CENTRAL VALLEY SCHOOL DISTRICT,2302,37600
CENTRAL VALLEY SCHOOL DISTRICT 356,14593,214966
CENTRAL YORK SCH DIST,5745,94330
CENTRALIA ELEM SCH DIST,4221,63812
CENTRALIA SCH DIST R 6,1363,14543
CENTRALIA SCHOOL DISTRICT 135,1271,18437
CENTRALIA SCHOOL DISTRICT 401,3577,62707
CENTRALIA TOWNSHIP HIGH SCHOOL DISTRICT 200,882,16117
CENTRAL-WESTOSHA U HIGH SCHOOL DISTRICT,1126,17690
CENTRE UNIFIED SCHOOL DISTRICT 397,533,4686
CENTREVILLE PUBLIC SCHOOL DIST,844,9818
CENTURA PUB SCH DIST 100,490,7212
CENTURY COMMUNITY UNIT SCHOOL DISTRICT 100,390,5538
CERES UNIF SCH DIST,14437,206188
CERRO GORDO COMMUNITY UNIT SCHOOL DISTRICT 100,484,8214
CHADRON SCH DIST 2,920,12922
CHADWICK COMMUNITY UNIT SCHOOL DISTRICT 399,452,7599
CHADWICK SCH DIST R 1,243,3421
CHAFFEE R-2 SCHOOL DISTRICT,678,6472
CHAFFEY UNION HIGH SCHOOL DIST,23883,381826
CHAGRIN FALLS EX VLG SCH DIST,1907,38097
CHALLIS JOINT SCHOOL DISTRICT 181,357,4499
CHAMA VALLEY SCHOOL DISTRICT,404,7352
CHAMBERLAIN SCHOOL DISTRICT 7-1,883,12030
CHAMBERS COUNTY SCHOOL DISTRICT,3545,38462
CHAMBERS PUB SCH DIST 137,132,2489
CHAMBERSBURG AREA SCH DIST,9361,147957
CHAMPAIGN COMMUNITY UNIT SCHOOL DISTRICT 4,10030,200973
CHAMPION LOCAL SCH DIST,1346,17651
CHAMPLAIN VALLEY SCHOOL DISTRICT,4259,87638
CHANDLER SCH DIST 1,1169,11365
CHANDLER UNIFIED SCHOOL DISTRICT 80,45968,445501
CHANEY-MONGE SCHOOL DISTRICT 88,435,8172
CHANNAHON SCHOOL DISTRICT 17,1234,24950
CHANNELVIEW IND SCH DISTRICT 905,9593,113897
CHANNING IND SCH DIST 901,182,3103
CHANUTE PUBLIC SCHOOL DISTRICT 413,1919,25338
CHAPEL HILL IND SCH DIST 906,1036,11862
CHAPEL HILL IND SCH DIST 909,3536,39643
CHAPEL HILL-CARRBORO CITY SCHOOLS,12422,170832
CHAPLIN TOWN SCHOOLS,154,4520
CHAPMAN UNIFIED SCHOOL DISTRICT 473,1082,14150
CHAPPAQUA CENTRAL SCHOOL DIST,3741,125888
CHARDON LOCAL SCH DIST,2811,40148
CHARIHO REGIONAL SCHOOL DISTRICT,3218,65624
CHARITON COMMUNITY SCHOOL DISTRICT,1278,16787
CHARLEROI AREA SCH DIST,1492,26612
CHARLES CITY CO SCHS,633,11195
CHARLES CITY COMMUNITY SCHOOL DISTRICT,1595,22253
CHARLES CO SCHS,27108,463932
CHARLESTON COMMUNITY UNIT SCHOOL DISTRICT 1,2714,37978
CHARLESTON COUNTY SCHOOL DISTRICT,49769,939765
CHARLESTON SCH DIST,942,9092
CHARLESTON SCH DIST R-1,915,9404
CHARLESTON TOWN SCH DIST,102,2073
CHARLEVOIX PUBLIC SCHOOLS,872,14316
CHARLO ELEM SCH DIST 7-J,172,1943
CHARLO H S DIST 7-J,89,1373
CHARLOTTE CO SCHS,1850,24933
CHARLOTTE COUNTY SCHOOL DISTRICT,16008,186197
CHARLOTTE IND SCH DIST 901,471,7438
CHARLOTTE PUB SCH DIST,2467,34570
CHARLOTTE TOWN SCHOOLS,40,969
CHARLOTTE VALLEY CTL SCH,394,10347
CHARLOTTE-MECKLENBURG SCHOOLS,147638,1563576
CHARLOTTESVILLE CITY SCH,4559,82661
CHARLTON CO SCH DIST,1721,20619
CHARTER OAK UNIF SCH DIST,4581,69683
CHARTER OAK-UTE COMMUNITY SCHOOL DISTRICT,214,4365
CHARTIERS HOUSTON SCHOOL DIST,1128,20273
CHARTIERS VALLEY SCH DIST,3283,66248
CHASE COUNTY SCHOOL DISTRICT 10,625,9886
CHASE COUNTY UNIFIED SCHOOL DISTRICT 284,387,6217
CHASE-RAYMOND SCHOOL DISTRICT 401,163,2900
CHASKA SCH DIST 112,9829,157301
CHASSELL TWP SCH DIST,263,3057
CHATEAUGAY CENTRAL SCH,525,13651
CHATFIELD IND SCHOOL DIST 227,873,12175
CHATHAM CENTRAL SCH DIST,1039,32182
CHATHAM CO SCH,9078,137041
CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),162,5074
CHATHAMS SCHOOL DISTRICT,4145,85085
CHATOM UNION SCHOOL DISTRICT,596,9361
CHATTAHOOCHEE CO SCH DIST,918,13866
CHATTANOOGA SCH DIST 132,253,3118
CHATTOOGA CO SCH DIST,2713,32861
CHAUTAUQUA COUNTY UNIFIED SCHOOL DISTRICT 286,389,5291
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,806,22986
CHAWANAKEE JOINT UNIFIED SCHOOL DISTRICT,1326,33941
CHAZY UNION FREE SCH DIST,457,10422
CHEATHAM CO SCHOOL DIST,6054,57487
CHEBEAGUE ISLAND SCHOOL DEPARTMENT,25,1228
CHEBOYGAN AREA SCH DIST,1563,20034
CHECOTAH SCH DIST 19,1418,14183
CHEEKTOWAGA CENTRAL SCH DIST,2222,50529
CHEEKTOWAGA-MARYVALE UNION FREE SCH DIST,2301,49272
CHEEKTOWAGA-SLOAN UNION FREE SCH DIST,1397,37897
CHEHALIS SCHOOL DISTRICT 302,3144,58150
CHELMSFORD TOWN SCHOOLS,4961,95126
CHELSEA CITY SCH,6088,126833
CHELSEA SCH DIST 3,816,8518
CHELSEA SCHOOL DISTRICT,2443,38024
CHELTENHAM TWP SCH DIST,4308,120868
CHENANGO FORKS CENTRAL SCH DIST,1502,37555
CHENANGO VALLEY CENTRAL SCHOOL DIST,1819,40588
CHENEY SCHOOL DISTRICT 360,5141,77119
CHENEY UNIFIED SCHOOL DISTRICT 268,789,10676
CHEQUAMEGON SCHOOL DISTRICT,768,11808
CHERAW SCH DIST 31,225,3421
CHEROKEE CO SCH DIST,42413,511028
CHEROKEE COMMUNITY SCHOOL DISTRICT,1157,14116
CHEROKEE COUNTY SCHOOL DISTRICT,3934,46472
CHEROKEE COUNTY SCHOOL DISTRICT,8756,110799
CHEROKEE COUNTY SCHOOLS,3274,39644
CHEROKEE IND SCH DIST 903,114,5079
CHEROKEE SCH DIST 46,400,6433
CHEROKEE UNIFIED SCHOOL DISTRICT 247,496,7748
CHERRY CREEK SCH DIST 5,55839,756696
CHERRY HILL TOWNSHIP SCHOOL DIST,10928,239793
CHERRY VALLEY-SPRINGFIELD CENTRL SCHL DIST,488,13505
CHERRYFIELD PUBLIC SCHOOLS,115,1998
CHERRYVALE UNIFIED SCHOOL DISTRICT 447,800,10250
CHESANING UNION SCH DIST,1447,16975
CHESAPEAKE CITY SCHOOLS,40879,509669
CHESAPEAKE UNION EX VLG SCHOOL DIST,1344,16300
CHESHIRE TOWN SCHOOLS,4270,90153
CHESTER AREA SCHOOL DISTRICT 39-1,570,5710
CHESTER CO SCH DIST,2807,27598
CHESTER COMMUNITY UNIT SCHOOL DISTRICT 139,998,13263
CHESTER COUNTY SCHOOL DISTRICT,5168,71783
CHESTER E LINCOLN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 61,295,4194
CHESTER IND SCH DIST 906,195,2438
CHESTER TOWN SCH DIST,496,12473
CHESTER TOWN SCHOOLS,194,5489
CHESTER TWP SCH DIST,1090,27709
CHESTER UF SCH DIST,1040,29386
CHESTERFIELD CO SCHS,61552,726164
CHESTERFIELD COUNTY SCHOOL DISTRICT,6955,86585
CHESTERFIELD SCHOOLS,282,7955
CHESTERFIELD TWP SCH DIST,780,16190
CHESTERFIELD-GOSHEN REG SCH DIST,129,2911
CHESTER-JOPLIN-INVERNESS EL,163,2072
CHESTER-JOPLIN-INVERNESS HS,58,1576
CHESTER-UPLAND SCHOOL DISTRICT,2942,136793
CHESTNUT RIDGE SCH DIST,1361,22417
CHETEK-WEYERHAEUSER AREA SCHOOL DISTRICT,989,17042
CHETOPA UNIFIED SCHOOL DISTRICT 505,413,6691
CHEWELAH SCHOOL DISTRICT 36,785,11560
CHEYENNE CO SCHOOL DIST RE-5,182,3861
CHEYENNE MTN SCH DIST 12,5274,61255
CHEYENNE SCH DIST 7,344,5442
CHEYLIN UNIFIED SCHOOL DISTRICT 103,130,2485
CHICAGO HEIGHTS SCHOOL DISTRICT 170,3060,62455
CHICAGO PARK ELEM SCH DIST,183,3637
CHICAGO RIDGE SCHOOL DISTRICT 127-5,1476,23403
CHICHESTER SCH DIST,3230,78830
CHICHESTER TOWN SCH DIST,212,6307
CHICKAMAUGA IND SCH DIST,1315,16991
CHICKASAW CITY SCHOOLS,1154,12279
CHICKASAW COUNTY SCHOOL DISTRICT,475,4770
CHICKASHA SCH DIST 1,2210,24792
CHICO IND SCH DIST 904,603,9751
CHICO UNIF SCHOOL DIST,12242,184507
CHICOPEE PUBLIC SCHOOL DEPARTMENT,7392,131180
CHILDRESS IND SCH DIST 901,1096,12174
CHILHOWEE SCH DIST R 4,178,2306
CHILLICOTHE CITY SCH DIST,2753,47460
CHILLICOTHE IND SCH DISTRICT 902,200,3357
CHILLICOTHE SCH DIST R 2,1844,21736
CHILTON COUNTY SCHOOL DISTRICT,7837,73891
CHILTON IND SCH DISTRICT 901,528,6949
CHILTON SCHOOL DISTRICT,1114,17463
CHIMACUM SCHOOL DISTRICT 49,876,16089
CHINA SPRING IND SCH DISTRICT 920,2809,29104
CHINLE UNIFIED SCHOOL DISTRICT 24,3485,71417
CHINO UNIFIED SCHOOL DISTRICT,27590,371200
CHINO VALLEY UNIFIED SCHOOL DISTRICT 51,2348,19608
CHINOOK ELEM SCH DIST 10,247,2963
CHINOOK HIGH SCH DIST 10,111,2163
CHIPPEWA FALLS AREA SCHOOL DISTRICT,5052,74810
CHIPPEWA HILLS SCH DIST,1959,23553
CHIPPEWA LOCAL SCH DIST,1322,17748
CHIPPEWA VALLEY SCH DIST,16061,204888
CHIRENO IND SCH DIST 901,396,5693
CHISAGO LAKES ISD 2144,3475,50046
CHISHOLM IND SCH DIST 695,726,11902
CHISHOLM SCH DIST 42,1184,12412
CHISUM IND SCH DIST 905,944,16721
CHITTENANGO CTL SCHOOL DIST,1955,41283
CHOCTAW CO SCH DIST,1330,23321
CHOCTAW COUNTY SCHOOL DISTRICT,1300,17517
CHOCTAW NICOMA PARK SCH DIST 4,5700,52357
CHOKIO-ALBERTA IND SCHOOL DIST 771,155,2554
CHOTEAU ELEM SCH DIST 1,222,2511
CHOTEAU HIGH SCHOOL DIST 1,123,2064
CHOUTEAU-MAZIE SCH DIST 32,883,12718
CHOWCHILLA ELEMENTARY SCHOOL DISTRICT,2245,31775
CHOWCHILLA UNION HIGH SCHOOL DISTRICT,1113,16167
CHRISTIAN CO SCH DIST,8710,99795
CHRISTIANA SCHOOL  DISTRICT,13843,326774
CHRISTOPHER UNIT 99,806,9508
CHRISTOVAL IND SCH DIST 901,550,6994
CHUALAR ELEM SCH DIST,309,4848
CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),514,7626
CHULA VISTA ELEM SCH DIST,34528,417415
CHURCH SCHOOL DISTRICT,22,249
CHURCHILL COUNTY SCHOOL DISTRICT,3396,43132
CHURCHVILLE CHILI CTL SCH DIST,3889,87373
CICERO SCHOOL DISTRICT 99,11236,225809
CIENEGA UNION ELEM SCH DIST,25,413
CIMARRON SCHOOL DISTRICT,429,8870
CIMARRON-ENSIGN UNIFIED SCHOOL DISTRICT 102,698,8731
CIMMARON SCHOOL DISTRICT 92,267,3018
CINCINNATI CITY SCH DIST,34816,680566
CINCINNATUS CENTRAL SCH,563,17197
CINNABAR ELEM SCH DIST,267,4725
CINNAMINSON TWP SCH DIST,2579,57047
CIRCLE ELEM SCH DIST 1,123,1871
CIRCLE H S DIST 1,61,1620
CIRCLE UNIFIED SCHOOL DISTRICT 375,1991,25102
CIRCLEVILLE CITY SCH DIST,2179,32798
CISCO IND SCH DIST 902,866,11176
CISSNA PARK COMMUNITY UNIT SCHOOL DISTRICT 6,293,4418
CITRUS COUNTY SCHOOL DISTRICT,15470,158454
CITY OF CHICAGO SCHOOL DISTRICT 299,359476,6643153
CITY VIEW IND SCH DIST 906,1064,14202
CLAIBORNE CO SCH DIST,4135,45529
CLAIBORNE COUNTY SCHOOL DISTRICT,1382,18340
CLAIBORNE PARISH SCHOOL DISTRICT,1686,23407
CLAIRTON CITY SCH DIST,813,17184
CLANCY ELEM DIST 1,338,3243
CLARE PUBLIC SCHOOLS,1614,17239
CLAREMONT SCHOOL DISTRICT,1783,34766
CLAREMONT UNI SCH DIST,6945,101124
CLAREMORE SCH DIST 1,3790,37038
CLARENCE CENTRAL SCHOOL DISTRICT,4371,84796
CLARENCEVILLE SCH DIST,1857,24111
CLARENDON CO SCH DIST 1,753,14805
CLARENDON CO SCH DIST 2,2897,35769
CLARENDON CO SCH DIST 3,1309,14063
CLARENDON IND SCH DISTRICT 901,462,6623
CLARENDON SCH DIST 6,485,6645
CLARINDA COMMUNITY SCHOOL DISTRICT,1218,13603
CLARION AREA SCHOOL DIST,781,16919
CLARION LIMESTONE AREA SCHOOL DIST,837,15271
CLARION-GOLDFIELD-DOWS COMMUNITY SCHOOL DISTRICT,1004,15270
CLARK CO SCH DIST,5411,67154
CLARK CO SCH DIST R-1,1074,11417
CLARK COUNTY SCHOOL DISTRICT,330225,3601267
CLARK COUNTY SCHOOL DISTRICT 161,115,2335
CLARK SCHOOL DISTRICT 12-2,413,5069
CLARK TWP SCHOOL DIST,2275,44273
CLARKE CO SCH DIST,13512,218389
CLARKE CO SCHS,1966,27833
CLARKE COMMUNITY SCHOOL DISTRICT,1405,20049
CLARKE COUNTY SCHOOL DISTRICT,2460,28643
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,6866,83557
CLARKSBURG SCH DIST C 2,54,1400
CLARKSBURG TOWN SCHOOLS,185,3575
CLARKSDALE MUN SEP SCHOOL DIST,2342,27738
CLARKSDALE-JEROME ELEMENTARY SCHOOL DISTRICT 3,472,4003
CLARKSON SCH DIST 58,211,4019
CLARKSTON COMM SCH DIST,7317,107601
CLARKSTON SCHOOL DISTRICT J250-185,2669,36066
CLARKSTOWN CENTRAL SCHOOL DIST,7984,213875
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,1345,20831
CLARKSVILLE COMMUNITY SCHOOL DISTRICT,323,4561
CLARKSVILLE IND SCH DIST 904,534,7370
CLARKSVILLE SCH DIST 17,2530,30501
CLARKTON SCH DIST 4C,363,4048
CLATSKANIE SCHOOL DISTRICT 6J,726,10532
CLAUDE IND SCH DIST 902,359,4742
CLAWSON PUBLIC SCHOOLS,1556,24794
CLAY CENTER UNIFIED SCHOOL DISTRICT 379,1346,21499
CLAY CENTRAL-EVERLY COMMUNITY SCHOOL DISTRICT,221,4722
CLAY CITY COMMUNITY UNIT SCHOOL DISTRICT 10,330,4168
CLAY CO SCH DIST,202,4336
CLAY CO SCH DIST,1137,12019
CLAY CO SCH DIST,1880,25777
CLAY CO SCH DIST,3238,41011
CLAY COMMUNITY SCHOOL DISTRICT,4183,49698
CLAY COUNTY SCH DIST,1328,15604
CLAY COUNTY SCHOOL DISTRICT,1868,19604
CLAY COUNTY SCHOOL DISTRICT,38284,353771
CLAY JOINT ELEM SCH DIST,248,2678
CLAY LOCAL SCHOOL DISTRICT,703,8549
CLAYMONT CITY SCH DIST,1876,24974
CLAYSBURG KIMMEL SCHOOL DIST,811,13248
CLAYTON BORO SCH DIST,1481,27920
CLAYTON CO SCH DIST,54840,628157
CLAYTON RIDGE COMMUNITY SCHOOL DISTRICT,1020,11206
CLAYTON SCH DIST,2644,58496
CLAYTON SCH DIST 10,321,4301
CLAYTON SCHOOL DISTRICT,475,7095
CLAYTON SCHOOL DISTRICT 1,344,5934
CLEAR CREEK ELEM SCH DIST,157,1875
CLEAR CREEK IND SCH DISTRICT 910,42205,485393
CLEAR CREEK SCH DIST RE-1,760,13768
CLEAR CREEK-AMANA COMMUNITY SCHOOL DISTRICT,2633,41329
CLEAR FORK VALLEY LOCAL SCH DIST,1656,21996
CLEAR LAKE COMMUNITY SCHOOL DISTRICT,1445,19500
CLEAR LAKE SCHOOL DISTRICT 1,597,9437
CLEARBROOK-GONVICK SCHOOL DISTRICT,464,7284
CLEARFIELD AREA SCHOOL DIST,2158,41662
CLEARVIEW LOCAL SCH DIST,1654,20916
CLEARVIEW REG HIGH SCHOOL DIST,2297,45370
CLEARWATER SCH DIST R 1,977,9820
CLEARWATER UNIFIED SCHOOL DISTRICT 264,1141,14694
CLEBURNE COUNTY SCHOOL DISTRICT,2512,27137
CLEBURNE IND SCH DIST 903,6684,80768
CLEELUM ROSLYN SCHOOL DISTRICT 404,890,14348
CLEMENTON BORO SCH DIST,487,13340
CLEORA SCH DIST 6,135,3033
CLERMONT NORTHEASTERN LOCAL SCH DIST,1435,21204
CLEVELAND CITY SCH DIST,5762,57982
